latitude,longitude,year,temp_q1,temp_q2,temp_q3,temp_q4,population,cases_q1,cases_q2,cases_q3,cases_q4
11.256531,12.426653,2020,32,36,22,32,200,11,18,14,13
9.081999,8.675277,2020,19,33,30,21,200,12,22,15,16
9.874158,11.019483,2020,25,25,25,25,200,14,23,18,17
9.700935,6.622079,2020,24,28,28,26,150,4,10,7,6
7.61572,9.612314,2020,21,24,31,28,150,6,12,9,8
10.220328,6.622079,2020,29,31,26,31,150,7,14,10,9
10.393273,10.667691,2020,19,28,24,27,180,20,30,25,26
7.092716,9.612314,2020,32,22,27,23,180,21,31,26,24
8.485955,7.325664,2020,24,37,23,21,180,22,34,27,25
6.219743,4.863117,2021,26,33,22,20,200,15,17,20,12
8.485955,9.084626,2021,28,35,30,19,200,16,28,20,19
7.789915,7.853352,2021,19,30,28,26,200,24,33,28,27
7.61572,5.742598,2021,22,31,26,24,150,5,11,8,7
7.964038,9.436418,2021,23,28,22,33,150,7,13,10,8
7.441454,7.853352,2021,31,25,29,31,150,9,16,12,11
7.687176,7.196257,2022,29,27,27,27,180,15,24,19,18
8.644159,3.238593,2022,20,31,23,29,180,16,25,20,19
10.33451,9.790726,2022,25,36,28,31,180,17,30,21,20
8.035434,9.922648,2022,21,34,25,33,200,10,17,13,12
12.359454,6.756517,2022,25,30,29,21,200,18,35,22,21
11.456472,5.481241,2022,20,31,30,25,170,19,30,19,16
11.327233,7.504047,2022,33,29,25,27,210,11,21,21,13
12.015816,9.263008,2022,31,26,23,26,300,21,34,28,28
11.456472,10.714152,2023,28,28,24,22,250,27,21,12,25
8.600711,9.219034,2023,21,31,29,24,220,18,20,15,22
8.383393,7.987761,2023,22,33,22,29,200,12,24,23,19
7.556505,6.008929,2023,27,32,29,30,180,10,18,14,20
9.728684,10.890048,2023,25,27,31,31,175,24,23,9,31
10.420962,8.559424,2023,29,26,23,33,210,13,18,5,12
7.789915,7.853352,2024,20,31,29,27,200,24,33,28,27
7.61572,5.742598,2024,23,33,27,24,150,5,30,8,7
7.964038,9.436418,2024,24,27,22,32,150,7,28,10,8
7.441454,7.853352,2024,32,26,26,33,150,9,22,12,11
7.687176,7.196257,2024,28,25,29,28,180,15,24,20,17
8.644159,3.238593,2024,21,33,21,27,180,16,30,21,19
10.33451,9.790726,2024,24,37,27,33,180,17,18,21,20
8.035434,9.922648,2024,22,32,26,32,200,11,18,13,14
12.359454,6.756517,2024,26,31,30,23,200,19,18,22,21
11.456472,5.481241,2024,21,33,31,26,170,19,14,19,16